State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Mizoram,Rice,Kharif,June,November,Germination,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Punjab,Wheat,Kharif,June,October,Sowing,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,Zinc sulphate 25kg/ha in deficient alkaline soils,Tebuconazole 2DS for Karnal bunt,Azotobacter biofertilizer for N fixation,Root rot in waterlogged conditions
Gujarat,Tobacco,Rabi,October,February,Vegetative,Sandy loam,Moderate irrigation,High potash requirement,Imidacloprid for aphids,Crop rotation,Mosaic virus
Tripura,Vegetables,Zaid,March,June,Fruiting,Well-drained loamy soil,Moderate frequent irrigation,Compost and FYM 20 tons/ha,Spinosad for caterpillars,Crop rotation,Powdery mildew
Goa,Rice,Kharif,June,September,Maturity,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,Blast disease affecting leaves and panicles
Maharashtra,Sugarcane,Zaid,February,June,Germination,Deep rich loamy soil 1-1.5m depth,Drip or furrow irrigation methods,"Micronutrients Fe, Zn, Mn for healthy growth",Fipronil 0.3G for early shoot borer,Green manuring with leguminous crops,Red rot most destructive disease
Chhattisgarh,Rice,Zaid,March,May,Maturity,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Tricyclazole 75WP for blast disease,Vermicompost 5 tons/ha for soil health,False smut during flowering stage
Arunachal Pradesh,Pulses,Rabi,November,March,Vegetative,Clay loam in irrigated areas,Critical at flowering and pod formation,Sulphur 20-30kg/ha for oilseeds,Triazophos 40EC for caterpillars,Rhizobium culture seed treatment essential,Yellow mosaic virus whitefly transmitted
Punjab,Rice,Rabi,October,March,Flowering,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
Manipur,Rice,Rabi,October,March,Maturity,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,DAP 18-46-0 100kg/ha as basal,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Goa,Rice,Rabi,November,March,Germination,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,False smut during flowering stage
Sikkim,Ginger,Kharif,July,October,Fruiting,Laterite soil,High moisture but well drained,FYM 25 tons/ha,Neem-based pesticides,Trichoderma treatment,Soft rot
Nagaland,Millet,Zaid,February,May,Vegetative,Red soil,Low rainfall crop,DAP 60kg/ha,Neem oil,Low input crop,Downy mildew
West Bengal,Rice,Rabi,October,February,Flowering,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Bihar,Maize,Rabi,October,February,Sowing,Black soil with proper drainage facilities,Moderate requirement 50-75cm,Urea 250kg/ha split application,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Maydis leaf blight causing lesions
West Bengal,Rice,Rabi,October,March,Fruiting,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,Brown spot causing yield reduction
Chhattisgarh,Rice,Kharif,June,November,Sowing,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Maharashtra,Jowar,Kharif,June,September,Fruiting,Black cotton soil,Drought tolerant,Urea 80kg/ha,Neem oil,Crop rotation,Rust
Arunachal Pradesh,Rice,Rabi,October,February,Vegetative,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Carbofuran 3G granules for gall midge control,Neem cake 200kg/ha as soil amendment,Brown spot causing yield reduction
Odisha,Rice,Rabi,October,March,Flowering,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Madhya Pradesh,Soybean,Zaid,February,June,Maturity,Alluvial soil with good drainage,Critical at flowering and pod filling,Phosphorus important DAP 200kg/ha,Profenofos 50EC for defoliators,Trichoderma for disease management,Anthracnose Colletotrichum foliar disease
Tripura,Rubber,Zaid,March,June,Flowering,Well-drained loam,High rainfall 200-300cm,NPK 12-12-12,Copper fungicides,Mulching,Powdery mildew
Chhattisgarh,Pulses,Kharif,June,September,Vegetative,Red and black soils suitable,Drought tolerant crops,Potash 40kg/ha in deficient soils,Dimethoate 30EC systemic,PSB culture for phosphorus,Root rot in heavy soils
Haryana,Wheat,Rabi,October,March,Germination,Well-drained loamy soil pH 6-7.5,Moderate requirement 45-65cm through season,Zinc sulphate 25kg/ha in deficient alkaline soils,Tebuconazole 2DS for Karnal bunt,Compost application 5 tons/ha,Black rust in warmer conditions
Puducherry,Rice,Kharif,June,September,Germination,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,Tungro virus spread by leafhoppers
Chhattisgarh,Rice,Rabi,October,March,Sowing,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Sheath blight in humid conditions
Karnataka,Jowar,Kharif,July,November,Maturity,Red loam soil,Drought tolerant,DAP 100kg/ha,Carbaryl for shoot fly,FYM 5 tons/ha,Rust
Haryana,Wheat,Kharif,July,October,Maturity,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,Zinc sulphate 25kg/ha in deficient alkaline soils,Mancozeb 75WP broad spectrum fungicide,Crop rotation with legumes for nitrogen,Brown rust most common rust disease
Telangana,Jowar,Rabi,October,March,Fruiting,Black cotton soil,Low to moderate 40-60cm,DAP 100kg/ha,Carbaryl for shoot fly,FYM 5 tons/ha,Grain mold
Mizoram,Rice,Kharif,July,September,Fruiting,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Chlorpyrifos 20EC for stem borer and leaf folder,Neem cake 200kg/ha as soil amendment,Bacterial leaf blight in warm weather
Kerala,Rice,Kharif,July,November,Vegetative,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Cartap hydrochloride 50SP for BPH and WBPH,Apply Farm Yard Manure 10-12 tons/ha before transplanting,False smut during flowering stage
Goa,Fruits,Zaid,February,June,Flowering,Well-drained loamy soil,Moderate irrigation,NPK 70:35:70 g/tree,Chlorpyrifos for fruit flies,Pruning,Fruit rot
Tripura,Rubber,Zaid,March,May,Fruiting,Well-drained loam,High rainfall 200-300cm,NPK 12-12-12,Copper fungicides,Mulching,Abnormal leaf fall
